id,name,host_since,host_location,host_is_superhost,host_identity_verified,property_type,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
590236,Rental unit in Amsterdam,2012-07-12,"Amsterdam, Netherlands",f,t,Entire rental unit,150.0,4.88,4.94,4.83,4.9,4.94,4.77,4.92
590386,Rental unit in Amsterdam,2012-07-12,"Amsterdam, Netherlands",f,t,Entire rental unit,200.0,4.83,4.71,5.0,5.0,4.86,4.86,4.86
590681,Rental unit in Amsterdam,2012-07-12,"Amsterdam, Netherlands",f,t,Entire rental unit,397.0,4.95,4.87,4.7,4.91,5.0,4.61,4.57
606871,Boat in Amsterdam,2012-07-21,"Amsterdam, Netherlands",t,t,Private room in boat,146.0,4.76,4.8,4.85,4.88,4.83,4.67,4.6
608432,Bed and breakfast in Amsterdam,2012-07-22,"Amsterdam, Netherlands",t,t,Private room in bed and breakfast,115.0,4.75,4.84,4.77,4.94,4.93,4.9,4.67
613088,Farm stay in Amsterdam,2012-07-24,"Amsterdam, Netherlands",f,t,Private room in farm stay,87.0,4.86,4.81,4.81,4.91,4.9,4.78,4.79
623123,Rental unit in Amsterdam,2012-06-20,"Amsterdam, Netherlands",f,t,Entire rental unit,450.0,5.0,4.96,4.96,4.96,5.0,4.96,4.89
627188,Bed and breakfast in Amsterdam,2012-07-22,"Amsterdam, Netherlands",t,t,Private room in bed and breakfast,139.0,4.86,4.9,4.84,4.97,4.97,4.93,4.72
627213,Houseboat in Amsterdam,2012-07-31,"Amsterdam, Netherlands",f,t,Houseboat,100.0,5.0,4.93,4.71,4.86,4.92,4.93,4.86
633585,Rental unit in Amsterdam,2011-07-31,"Amsterdam, Netherlands",f,t,Entire rental unit,125.0,4.82,4.8,4.65,4.88,4.85,4.86,4.63
634170,Loft in Amsterdam,2012-07-27,"Amsterdam, Netherlands",f,t,Entire loft,109.0,4.88,4.79,4.86,4.95,4.93,4.79,4.74
653459,Home in Amsterdam,2012-01-21,"Amsterdam, Netherlands",f,t,Entire home,240.0,4.94,4.89,4.78,4.94,5.0,4.78,4.72
